title,date,authors,isbn,description,collection,img,publisher,language,format,url
"¡Qué valiente eres! 8 Historias de capacitismo cotidiano","6 de marzo de 2025","Claudia Flandoli, Witty Wheels, Elena Paolini, Maria Chiara Paolini","978-8-410-15810-8","El capacitismo es eso que sucede cuando, al sentirte especialmente guay por ese corte de pelo que te acabas de hacer y vas por ahí luciéndolo con la melena al viento, viene un tío y te dice: «Qué valiente eres. Qué bien que sales de casa». Capacitistas son las películas con personajes discapacitados que van regalando grandes lecciones de vida a los demás, o que mantienen relaciones sexuales justo antes de palmarla. Capacitista es la perturbadora señora que te da palmaditas en la cabeza en la cola del supermercado. Pero también lo es el aula universitaria inaccesible, la burocracia interminable y la asistencia insuficiente. Un cómic de 8 historias que desvela con inteligencia e ironía los prejuicios y la opresión estructural que rodean cada día a las personas discapacitadas. Sin olvidar alguna que otra estrategia para luchar contra ellos. Elena Paolini (1995) y Maria Chiara Paolini (1991), alias Witty Wheels, son activistas, formadoras y blogueras. Se dedican a analizar y deconstruir el capacitismo, es decir, la opresión estructural que rodea a las personas discapacitadas. Autoras de Mezze persone. Riconoscere e comprendere l’abilismo («Medias personas: reconocer y comprender el capacitismo», 2022, obra aún no publicada en España), trabajan desde el feminismo basándose en estudios sobre discapacidad. Sus perfiles en Instagram y Facebook (@witty_wheels) tienen un público de seguidores muy amplio. Claudia Flandoli es autora y dibujante de cómic, además de ilustradora editorial y científica. Vive y trabaja en Inglaterra","","https://i1.whakoom.com/small/15/03/3cac8ac293124ca589592f4b36515180.jpg","Liana Editorial","Español (España)","Rústica","https://www.whakoom.com/ediciones/676328/que_valiente_eres_8_historias_de_capacitismo_cotidiano"
"¡Que vida esta!","1989","Carlos Vera Grijalba","84404-45-14-8","","","https://i1.whakoom.com/small/35/3c/8ee2b13c3bb047a48dc411393ef00908.jpg","Ediciones Pléyades","Español (España)","Rústica","https://www.whakoom.com/ediciones/342493/que_vida_esta-rustica"
"¡Ramen!","4 de febrero de 2020","Hugh Amano, Sarah Becan","978-8-448-02675-2","Divertido e instructivo, este híbrido entre libro de cocina y novela gráfica nos introduce a la historia del ramen y ofrece más de cuarenta recetas de todo lo que necesitas para preparar el ramen perfecto en casa, incluyendo caldos, tare, fideos, aderezos y acompañamientos. Los autores Hugh Amano y Sarah Becan comparten atajos para poder preparar un ramen improvisado cualquier noche entre semana, ofrecen información jugosa sobre las tradiciones culinarias japonesas y comparten palabras sabias, anécdotas personales y aportaciones culturales de chefs del ramen y personajes destacados como Ivan Orkin y Brian MacDuckston de Ramen Adventures.","","https://i1.whakoom.com/small/32/20/28ba3d2f19ba4934b1f460e56e3593fb.jpg","Libros Cúpula","Español (España)","Cartoné 192 pp","https://www.whakoom.com/ediciones/572934/ramen-cartone_192_pp"
"¡Rayos y truenos! Tintín, Haddock y los barcos","Octubre 2003","Yves Horeau","978-8-484-18131-6","Este libro recuerda las aventuras marítimas de nuestros dos héroes que utilizarán indistintamente todo aquello que se desplace por mar y que, a ser posible, sea rápido y los lleve lejos. Hace también un inventario de la flota de barcos creada por Hergé. Tintín, viaje y mar, forman las tres constantes inseparables de un triángulo que conserva en su interior la esencia de la aventura; el mundo marítimo ocupa un importante lugar en la obra de Hergé: en quince de los veintitrés álbumes de Tintín aparecen barcos en escena. Publicado en coedición con Editorial Zendrera Zariquiey.","","https://i1.whakoom.com/small/07/3d/4ffa33564bb048e495bd9109a0ad4dac.jpg","Editorial Noray","Español (España)","Cartoné 76 pp","https://www.whakoom.com/ediciones/276595/rayos_y_truenos_tintin_haddock_y_los_barcos-cartone_76_pp"
"¡Salta cachorro!","Noviembre 2007","Fernando Gómez, Luis Carlos Cifuentes","978584217684","Narra la historia de una repulsiva anciana que todas las noches se convierte en una mujer despampanante - una diferente todas las noches: rubia, morena, flaca, pelirroja, con senos o sin senos - y de una incontrolable sed de sangre. Esta mujer vive al mismo tiempo un intenso amor y sufre una tenaz persecución por parte de un par de niños asesinos que, para lograr su objetivo, no dudan en decapitar gatos y dejar en el camino perros mutilados.","","https://i1.whakoom.com/small/1f/3f/1cf5f27b8f274c0dbcd2808c04cbd357.jpg","Editorial Seix Barral","Español (Colombia)","Rústica 185 pp","https://www.whakoom.com/ediciones/659997/salta_cachorro-rustica_185_pp"
"¡Salud!","3 de mayo de 2018","Philippe Thirault, Nadar","978-8-416-88050-8","España, 1975. Franco agoniza, pero su régimen todavía es feroz. Llegado desde Francia, Antoine abre un exitoso restaurante en el centro de A Coruña, donde descubrirá la violencia policial y los intrincados tentáculos de la dictadura, capaces de poner en riesgo su vida. El cóctel de dinero y alcohol terminan por hacerle entrar en una espiral de complicada solución...","","https://i1.whakoom.com/small/0a/1c/cdf9c428744846fd8853fa598b9cf523.jpg","Astiberri","Español (España)","Cartoné 112 pp","https://www.whakoom.com/ediciones/502625/salud-cartone_112_pp"
"¡Sálvanos, Wonder Woman!: Un libro sobre la amistad","27 de junio de 2023","Michael Dahl, Omar Lozano","978-8-419-76069-2","Contiene Save the Day, Wonder Woman!: A Book About Friendship publicado en USA por DC Comics. ¡La amistad es el mayor superpoder de todos! Wonder Woman, una de las mayores superheroínas del mundo, tiene muchos poderes y habilidades, como la velocidad del rayo, la superfuerza y un lazo dorado. Pero ¿cuál es su habilidad más importante? Ser una amiga. El galardonado autor Michael Dahl nos presenta una forma novedosa y emocionante de abordar esta habilidad del aprendizaje social y emocional, a la vez que complace a todos los fans de los superhéroes, jóvenes y mayores.","","https://i1.whakoom.com/small/21/23/3a2fdc71be3947709597345e6e5479f7.jpg","ECC Ediciones","Español (España)","Cartoné 32 pp","https://www.whakoom.com/ediciones/648001/salvanos_wonder_woman_un_libro_sobre_la_amistad-cartone_32_pp"
"¡Salvemos el bosque!","29 de mayo de 2024","Nora Dasnes","978-8-410-15806-1","Cuando Bao descubre que los adultos van a convertir el bosque cerca de su escuela en un aparcamiento, decide rebelarse y actuar. Con sus mejores amigas Tuva y Linnea, Bao organiza una protesta para salvar el bosque. ¿Los demás niños de la clase entienden realmente por qué es tan importante salvar el bosque? ¿Y cómo conseguir que los adultos entiendan la gravedad de la situación cuando tienes 12 años? Una historia sobre ser lo suficientemente mayor para saber cómo actuar, pero demasiado joven para que los adultos te tomen en serio. Un libro dedicado a las y los jóvenes lectores que quieren actuar contra el cambio climático. Obra ganadora del Nordic Council Children and Young People’s Literature Prize.","","https://i1.whakoom.com/small/1e/3e/01f2b1cc076b4099ae90ebdd4a82b1d6.jpg","Liana Editorial","Español (España)","Rústica 230 pp","https://www.whakoom.com/ediciones/665035/salvemos_el_bosque-rustica_230_pp"
"¡Santo Súbito!","9 de noviembre de 2023","Alfonso López, Manel Fontdevila","978-8-412-47196-0","Recopilación que reune las historietas de esta serie publicadas previamente en la revista Fluide Glaciel e inéditas hasta ahora en nuestro país. Volumen único. San Apapucio no figura en santoral alguno. Solo dos grandes fieles y genios de la sátira ilustrada, como son López y Fontdevila, han sido capaces de rescatarlo del olvido imaginario para que los lectores de cómic disfruten con su pecaminosa vida. Esta obra se editó por entregas mensuales en la revista francesa Fluide Glacial, entre los años 1993 y 1998, bajo el título de Un vie de Saint. Curiosamente, tal vez provocado por la acción del maléfico, esta obra nunca se publicó en España. Como dice Xavier Roca en el prólogo: La moraleja de esta novedad editorial es que, a fin de cuentas, nunca hay que perder por completo la fe en los milagros. Por lo menos sale más barato creer en ellos que en las criptomonedas, en la psicología positiva o en los coach de crecimiento personal . Y añadimos en la editorial: los lectores no irán al infierno por leerla y los 20 € que pagarán a su librero les servirán para expiar sus pecados más inconfesables. La risa está asegurada.","","https://i1.whakoom.com/small/19/3c/02cbf3addacd42b6a3daec2f235b043a.jpg","DQómics","Español (España)","Rústica 100 pp","https://www.whakoom.com/ediciones/653868/santo_subito-rustica_100_pp"
"¡Sé una estrella, Wonder Woman!","13 de septiembre de 2018","Michael Dahl, Omar Lozano","978-8-417-54971-8","EDICIÓN ORIGINAL: Be a star, Wonder Woman USA Mientras amanece, una niña se enfrenta a su mayor desafío: ¡levantarse para ir a la escuela! En este maravilloso libro veremos su paso a paso en el camino para convertirse en una auténtica Amazona: descubrimos sus poderes (compartir), superamos junto a ella sus mayores temores (el momento de ir al recreo), y la derrota definitiva de su ancestral enemigo (las pruebas de ortografía). Con coraje y amabilidad, un día cualquiera en el cole se convierte en una aventura increíble. ¡De los autores de Es hora de dormir, Batman y ¡Buenos días, Superman!!","","https://i1.whakoom.com/small/14/17/b7f344a89f914b14b7d9fe76ac591a12.jpg","ECC Ediciones","Español (España)","Cartoné 32 pp","https://www.whakoom.com/ediciones/510179/se_una_estrella_wonder_woman-cartone_32_pp"
"¡Sé valiente como Batman!","30 de noviembre de 2021","Laura Hitchcock, Ethen Beavers","978-8-418-97421-2","EDICIÓN ORIGINAL: Be brave like Batman! USA ¿Tienes miedo a la oscuridad? No te asustes. ¡Sé valiente como Batman! Batman y los Superamigos de DC están listos para ayudar a pequeños héroes como tú a conquistar sus miedos nocturnos en este libro lleno de acción. ¡La hora de acostarse ya nunca volverá a ser igual!","","https://i1.whakoom.com/small/1e/33/4e43af8911404d3f8d683127785d637f.jpg","ECC Ediciones","Español (España)","Cartoné 32 pp","https://www.whakoom.com/ediciones/620089/se_valiente_como_batman-cartone_32_pp"
"¡Serán nuestros! Diario de guerra de un soldado francés (Agosto y septiembre de 1914)","24 de mayo de 2018","Stéphane Barroux","978-8-467-93068-9","LA HISTORIA REAL DE UN SOLDADO FRANCÉS EN LA PRIMERA GUERRA MUNDIAL Una mañana de invierno, Barroux encuentra en la calle un cuaderno que contiene un testimonio increíble: la historia de las primeras semanas de reclutamiento de un soldado durante el verano de 1914. El autor de este diario explica el inicio de la guerra, la separación, los viajes a destinos desconocidos, la espera de correo, el hambre, las noches interminables, el sonido de las armas y también el miedo. Barroux –Premio Médicos Sin Fronteras 2015 por Alpha– ilustra en ¡Serán nuestros! esa auténtica joya encontrada por el más puro azar en una acera de París.","","https://i1.whakoom.com/small/3a/13/b9e9922100f94da39468711a3aa18db2.jpg","Norma Editorial","Español (España)","Cartoné 96 pp","https://www.whakoom.com/ediciones/505275/seran_nuestros_diario_de_guerra_de_un_soldado_frances_agosto_y_septiembre_de_1914-cartone_96_pp"
"¡Shazam!","30 de abril de 2014","Geoff Johns, Gary Frank, Brad Anderson","978-8-416-07091-6, 978-8-417-17602-0","EDICIÓN ORIGINAL: Justice League núms. 7 a 11, 0, 14 a 16 y 18 a 21 USA (historias de complemento) La existencia del joven Billy Batson da un vuelco cuando un hechicero en apuros lo transforma en un ser casi omnipotente. Con apenas 15 años y el poder de un dios en las manos, la vida es un sueño del que el adolescente despierta britalmente al encontrarse a su némesis oscura, el despiadado y poderosísimo Black Adam. Si Billy sobrevive al enfrentamiento, la Tierra tendrá un nuevo campeón. Si no, dará comienzo una era de dominación y terror. El guionista Geoff Johns y el dibujante Gary Frank —afamados creadores de El origen de Superman y Batman: Tierra Uno— se reúnen de nuevo en una vibrante historia publicada originalmente como complemento de Liga de la Justicia. ¡Un relato que revitaliza al Capitán Marvel y le devuelve el lugar que le corresponde en el panteón DC!","","https://i1.whakoom.com/small/2b/32/cc15eefcf1da4fc4be033a59b1588562.jpg","ECC Ediciones","Español (España)","Cartoné 192 pp","https://www.whakoom.com/ediciones/320715/shazam-cartone_192_pp"
"¡Shazam!","16 de abril de 2019","Geoff Johns, Gary Frank","978-8-417-87171-0","EDICIÓN ORIGINAL: Justice League núms. 7 a 11, 0, 14 a 16 y 18 a 21 USA (historias de complemento) La existencia del joven Billy Batson da un vuelco cuando un hechicero en apuros lo transforma en un ser casi omnipotente. Con apenas 15 años y el poder de un dios en las manos, la vida es un sueño del que el adolescente despierta britalmente al encontrarse a su némesis oscura, el despiadado y poderosísimo Black Adam. Si Billy sobrevive al enfrentamiento, la Tierra tendrá un nuevo campeón. Si no, dará comienzo una era de dominación y terror. El guionista Geoff Johns y el dibujante Gary Frank —afamados creadores de El origen de Superman y Batman: Tierra Uno— se reúnen de nuevo en una vibrante historia publicada originalmente como complemento de Liga de la Justicia. ¡Un relato que revitaliza al Capitán Marvel y le devuelve el lugar que le corresponde en el panteón DC!","","https://i1.whakoom.com/small/2b/2e/2529d8bd00ca4a2aba3357a001d28b37.jpg","ECC Ediciones","Español (España)","Estuche 192 pp","https://www.whakoom.com/ediciones/529296/shazam-estuche_192_pp"
"¡Shazam!","16 de abril de 2019","Geoff Johns, Gary Frank, Brad Anderson","978-8-417-82721-2","EDICIÓN ORIGINAL: Justice League núms. 7 a 11, 0, 14 a 16 y 18 a 21 USA (historias de complemento) ¡La historia que ha inspirado la película de Shazam, ahora en formato tomo rústica! La existencia del joven Billy Batson da un vuelco cuando un hechicero en apuros lo transforma en un ser casi omnipotente. Con apenas 15 años y el poder de un dios en las manos, la vida es un sueño del que el adolescente despierta brutalmente al encontrarse a su némesis oscura, el despiadado y poderosísimo Black Adam. Si Billy sobrevive al enfrentamiento, la Tierra tendrá un nuevo campeón.","","https://i1.whakoom.com/small/19/25/b0cdbdf241104345af7c3c0e0ece8b25.jpg","ECC Ediciones","Español (España)","Rústica 192 pp","https://www.whakoom.com/ediciones/529255/shazam-rustica_192_pp"
"¡Shazam! - DC Comics Deluxe","21 de marzo de 2019","Geoff Johns, Gary Frank, Brad Anderson, Nick J. Napolitano, Dezi Sienty","750-9-997-04286-2, 7509997042862-01901","¡Shazam! (de Geoff Johns) - DC Comics Deluxe PUBLICACIÓN ORIGINAL USA: Justice League #7-11, Justice League #0, Justice League #14-16, Justice League #18-21 (© DC Comics) SINOPSIS: SU NOMBRE SIGNIFICA PODER Desde hace siglos la ciencia gobierna el mundo, mientras la magia vieja se ha marchitado y muerto. Pero ahora está de regreso –ha encontrado su morada en el héroe menos imaginado: Billy Batson, un niño de quince años, huérfano y nada sociable. Demasiado arrogante y odioso para encontrar un hogar definitivo, Billy Batson significa problemas... y aun así, fue elegido para recibir un poder antiguo. Pero existe otro, que ha sido despertado una vez más y que también busca el mismo poder: Black Adam. Arcaico, brutal y maligno que acabará con toda la civilización después de haber destruido a Billy Batson. Si el mundo pretende sobrevivir a la plaga de horror que se avecina, Billy tendrá que aceptar su destino, ¡Y convertirse en el campeón de la magia! Convertirse en... ¡SHAZAM!","","https://i1.whakoom.com/small/04/02/731cfdb117f34478aa67c9d8a0dfd91a.jpg","Televisa México","Español (México)","Cartoné 200 pp","https://www.whakoom.com/ediciones/574813/shazam_-_dc_comics_deluxe-cartone_200_pp"
"¡Shazam! La batalla de ¡Shazam!","20 de agosto de 2019","Alexandra West, Aleksander Zolotic","978-8-417-96018-6","EDICIÓN ORIGINAL: Shazam! A Shazam Showdown (I Can Read Level 3) USA Aprender a ser un superhéroe no es fácil para Billy Batson, un chico huérfano de 14 años a quien le han conferido la habilidad de convertirse en un poderoso campeón al pronunciar la palabra ¡Shazam! Dominar sus recién adquiridas habilidades resulta más complicado de lo previsto, especialmente cuando entra en escena el Dr. Sivana, un malvado supervillano dispuesto a todo con tal de robarle sus poderes. Basado en la película ¡Shazam!, este divertido y trepidante libro ilustrado relata el enfrentamiento entre el alter ego de Billy Batson y su gran enemigo. ¿Cómo terminará esta épica pelea?","","https://i1.whakoom.com/small/3c/13/62cf6dab2f234d0baa81b95942c55f71.jpg","ECC Ediciones","Español (España)","Rústica 32 pp","https://www.whakoom.com/ediciones/553425/shazam_la_batalla_de_shazam-rustica_32_pp"
"¡Shazam! La llegada de Shazam","23 de julio de 2019","Alexandra West, Fabio Laguna, Walter Carzon Studio","978-8-417-90880-5","EDICIÓN ORIGINAL: Shazam!: Becoming Shazam (I Can Read Level 3) USA Billy Batson es un chico huérfano de 14 años residente en Philadelphia a quien el destino le reserva un inesperado desafío: ¡Convertirse en uno de los superhéroes más poderosos de todos los tiempos! Con la ayuda de su amigo Freddy, poco a poco irá descubriendo el alcance de sus recién adquiridos poderes... ¿Cómo obtuvo sus habilidades? ¿Qué retos tendrá que afrontar? Basado en la película ¡Shazam!, este divertido y trepidante libro ilustrado relata el origen del héroe del momento.","","https://i1.whakoom.com/small/0f/3c/fb71ad8639cd406ab8ff794b2e812a54.jpg","ECC Ediciones","Español (España)","Rústica 32 pp","https://www.whakoom.com/ediciones/552458/shazam_la_llegada_de_shazam-rustica_32_pp"
"¡Shazam! La Monstruosa Sociedad del Mal","13 de marzo de 2018","Jeff Smith","978-8-417-40103-0","EDICIÓN ORIGINAL: Shazam! The Monster Society of Evil núms. 1-4 USA El aclamado guionista y dibujante Jeff Smith es el autor del laureado cómic Bone, convertido en clásico instantáneo. Ahora, el brillante creador pone al servicio de DC Comics todo su talento para confeccionar historias que combinan aventuras, humor y preciosas ilustraciones en esta reinterpretación de la historia de Shazam para una nueva generación. Cuando el joven huérfano Billy Batson sigue a un misterioso desconocido hasta el metro, no imagina que está entrando en un extraño mundo de poderosos magos, tigres parlantes, monstruos devoradores de niños, robots gigantes, intrigas policiales y misteriosos villanos. ¡Pero Billy encuentra todo eso y mucho más cuando el mago le revela una palabra mágica que lo transforma en el mortal más poderoso del mundo!","","https://i1.whakoom.com/small/01/05/42c599fef9f1479997bee8e78e0a0e43.jpg","ECC Ediciones","Español (España)","Cartoné 208 pp","https://www.whakoom.com/ediciones/502408/shazam_la_monstruosa_sociedad_del_mal-cartone_208_pp_color"
"¡Shazam! y las Siete Tierras Mágicas","21 de febrero de 2023","Geoff Johns, Dale Eaglesham, Mayo ""Sen"" Naito, Marco Santucci, Scott Kolins, Michael Atiyeh, Brad Anderson, Alex Sinclair, Max Raynor","978-8-419-62602-8","EDICIÓN ORIGINAL: Shazam! vol. 3 núms, 1-11, 13-14 USA Hace poco que un chaval llamado Billy Batson obtuvo los poderes de Shazam, que lo convirtieron en un superhéroe adulto capaz de derrotar a Black Adam. Para eso, tuvo que repartir su magia entre los demás niños y niñas que vivían en su casa de acogida. ¡Y ahora, esta peculiar familia va a vivir una nueva aventura! La Roca de la Eternidad esconde el camino a varios mundos mágicos como las Tierras de la Diversión o las Tierras Salvajes. Y aunque al principio no lo parezcan, todos albergan peligros y retos para estos héroes tan poderosos como novatos. Geoff Johns retoma las aventuras de Billy, Mary, Freddy y sus amigos en compañía de Dale Eaglesham, Scott Kolins y otros autores.","","https://i1.whakoom.com/small/3d/36/8f14294447624ddaa0b634c9a1ec4f33.jpg","ECC Ediciones","Español (España)","Cartoné 344 pp","https://www.whakoom.com/ediciones/637319/shazam_y_las_siete_tierras_magicas-cartone_344_pp"
"¡Shazam!: Conoced al capitán","25 de septiembre de 2024","Mark Waid, Goran Sudzuka, Emanuela Lupacchino, Dan Mora, Alejandro Sánchez, Ive Svorcina, Patricia Mulvihill","978-8-410-33060-3","Edición original: Shazam! vol. 5 núms, 1-9 USA ¡El Amanecer de DC sigue aquí! ¿Qué le pasa al Capitán? Shazam tiene una misión: que sus hermanos de acogida vuelvan a compartir los poderes que a él le  confieren los dioses y campeones de la antigüedad. Sin embargo, estos últimos han empezado a  comportarse de forma extraña, y ahora el Mortal más Poderoso del Mundo sufre episodios de furia  impropios de su afable carácter. Sin embargo, a nuestro protagonista le aguardan más problemas,  incluidos Black Adam y unos dinosaurios alienígenas obsesionados con la burocracia. Llegan las nuevas aventuras de Shazam en Conoce al Capitán, un volumen escrito por Mark Waid y dibujado por Dan Mora, el equipo creativo de Los mejores del mundo, con la participación de Goran Sudžuka y Emanuela Lupacchino.","","https://i1.whakoom.com/small/0b/2f/aa265c0d46ab4f508965e50fb230f19e.jpg","ECC Ediciones","Español (España)","Cartoné 208 pp","https://www.whakoom.com/ediciones/664695/shazam_conoced_al_capitan-cartone_208_pp"
"¡Shrek!","13 de octubre de 2022","William Steig","978-8-419-17233-4","El libro más famoso de William Steig en una edición de lujo. Este libro forma parte de la nueva colección GRANDES ÁLBUMES: Los mejores álbumes de la literatura infantil, en una cuidadísima edición de gran formato con unos materiales y acabado de lujo. Shrek, un ogro feo y malhumorado pero con un gran corazón, recorre el mundo en busca de aventura encontrándose con asnos, brujas, caballeros, dragones, y finalmente con una princesa tan horrible y adorable como él. El personaje de esta divertidísima y tierna fábula moderna dio origen a la exitosa saga «Shrek» (Dreamworks), cuya primera película fue ganadora del Oscar al mejor film de animación.","","https://i1.whakoom.com/small/29/15/e91b4eacfadb448da1ed65a88b610b70.jpg","Blackie Books","Español (España)","Cartoné 40 pp","https://www.whakoom.com/ediciones/655838/shrek-cartone_40_pp"
"¡Smash!","11 de abril de 2024","Simon Furman, Chris Weston, Rob Williams, John McCrea, Paul Grist, Charlie Adlard","978-8-410-03144-9","¡Smash!. Una miniserie nueva con los personajes clásicos de Spider, Zarpa de Acero, Dolmann, Mytek, y muchos más por autores de alto nivel. Spider ha vuelto. Tras muchos años desaparecido, la mente criminal más siniestra del mundo ha regresado. Hace seis décadas, dos agentes secretos tan diferentes como Zarpa de Acero y Jane Bond trataron de impedir que el rey del crimen se hiciera con una poderosa joya de un valor incalculable. Sin embargo, Spider no es el único interesado en esta misteriosa reliquia ancestral, y pronto en su camino se interpondrán nuevos enemigos como Robot Archie, Adam Eterno o Max, la Decimotercera Planta. Este volumen incluye nuevas historias protagonizadas por algunos de los personajes más clásicos e icónicos del cómic británico, a cargo de autores como Simon Furman, Chris Weston, John McCrea, Charlie Adlard, Paul Grist o Tom Raney. Recuperados del baúl de los recuerdos, esta actualización al nuevo milenio repleta de acción, guiños y nostalgia trae de vuelta por todo lo alto a personajes como Spider, Mytek, Johnny Thunderbolt o Dolmann y sus muñecos.","","https://i1.whakoom.com/small/2a/06/58f1d6f7cb574f61bd17f2cb56b79b15.jpg","Dolmen Editorial","Español (España)","Cartoné 144 pp.","https://www.whakoom.com/ediciones/659098/smash-cartone_144_pp"
"¡Socorro! Mi madre tiene Facebook","3 de febrero de 2016","Carles Ponsí","978-8-494-30025-7","Tu peor pesadilla se ha hecho realidad. Has recibido una solicitud de amistad de tu madre en Facebook. Y ahora ¿qué haces? Carles Ponsí que nos muestra un futuro muy real lleno de familiares iniciándose en las nuevas tecnologías y convirtiéndote de golpe en un cómodo servicio técnico. Es ley de vida, pero vas a necesitar sobrevivir, y este cómic será la guía definitiva que te preparará para lo que se te viene encima. Créelo, necesitas estar preparado.","","https://i1.whakoom.com/small/37/06/616b81956f9743a2b47048a9c9e50865.jpg","Grafito Editorial","Español (España)","Rústica 96 pp","https://www.whakoom.com/ediciones/397892/socorro_mi_madre_tiene_facebook-rustica_96_pp"
"¡Socorro! Somos abuelos primerizos","24 de marzo de 2017","Juan Carlos Bonache","978-8-490-94892-7","La secuela de ¡Socorro! Somos padres primerizos, porque los abuelos también necesitan un libro de instrucciones para saber qué hacer con los bebés. Aquí encontrarán un montón de consejos imprescindibles y divertidísimos que todos los abuelos primerizos necesitan tener para sobrevivir.","","https://i1.whakoom.com/small/24/29/391a878805d8450f80e3a64a54e12784.jpg","Panini Comics España","Español (España)","Cartoné 112 pp","https://www.whakoom.com/ediciones/408512/socorro_somos_abuelos_primerizos-cartone_112_pp"
"¡Socorro! Soy Bebé Primerizo En manos de padres novatos","26 de noviembre de 2020","Juan Carlos Bonache","978-8-413-34681-6","","","https://i1.whakoom.com/small/1b/34/2bb8c83756b5467cb855ed102b6ccd4e.jpg","Panini Comics España","Español (España)","Cartoné 112 pp","https://www.whakoom.com/ediciones/595795/socorro_soy_bebe_primerizo_en_manos_de_padres_novatos-cartone_112_pp"
"¡Somos bestias, no máquinas!","Diciembre 1991","Tom","84880-19-02-5","Antología de viñetas de Tom","","https://i1.whakoom.com/small/0a/28/93d0582ba3744ae4b3b98be774ae6d15.jpg","Estrip","Español (España)","Rústica 136 pp","https://www.whakoom.com/ediciones/231978/somos_bestias_no_maquinas-rustica_136_pp"
"¡Sonríe!","10 de marzo de 2016","Raina Telgemeier, Stephanie Yue","978-8-416-36364-3","Raina solo quiere ser normal. Pero una noche, tras una reunión de los scouts, se tropieza y se rompe los paletos. Los meses siguientes serán una tortura para ella: se verá obligada a pasar por una operación, ponerse brackets metálicos, llevar un horrible casco e incluso dientes falsos. Pero además tendrá que «sobrevivir» a un terremoto, a los primeros amores y a algunos amigos que resultan no serlo tanto.","","https://i1.whakoom.com/small/06/2f/253683e7c3c442409906c439eb07e864.jpg","Maeva","Español (España)","Rústica 216 pp","https://www.whakoom.com/ediciones/399500/sonrie-rustica_216_pp"
"¡Super-poderes!","28 de septiembre de 2022","Art Baltazar, Franco","978-8-419-42890-5","EDICIÓN ORIGINAL: Super Powers! núms. 1-6 USA El comisario Gordon está preocupado. La delincuencia se ha vuelto a disparar en Gotham City... ¡porque Batman ha desaparecido! Alarmado, Superman decide buscar a su amigo, que está preso de un villano que los dos conocen muy bien. Sin embargo, ni siquiera ellos serán capaces de superar este momento tan difícil sin la ayuda de Wonder Woman. Ha llegado el momento de que los tres héroes más poderosos del Universo DC vuelvan a reunirse en una aventura apta para todos los públicos. Art Baltazar y Franco, responsables de Pequeños Titanes, nos traen Superpoderes, un nuevo título de la Biblioteca Super Kodomo que arranca con el descubrimiento de un planeta nuevo... que no lo es tanto.","","https://i1.whakoom.com/small/2f/1a/bdb1200434064ac39637226ff284dc38.jpg","ECC Ediciones","Español (España)","Cartoné 136 pp","https://www.whakoom.com/ediciones/633336/super-poderes-cartone_136_pp"
"¡Te devoré como a un buen libro!","13 de septiembre de 2022","Mika","978-8-412-43057-8","Takumi es un novelista peligrosamente atractivo al que conocí por estar llorando bajo la lluvia. Me rescató de pillar una pulmonía y me consoló de mi despecho con sus habilidades de escritor-seductor. “Venga, a desnudarse” dijo, ¡y al final acabamos acostándonos el mismo día de conocernos! Pensaba que se trataba de una historia de una sola noche, pero tras vernos otra vez… ¡¿Takumi me ofreció ser amigos con derecho a roce?! ¿Podrá Takumi ayudarme a olvidar a mi ex?","","https://i1.whakoom.com/small/3f/17/b15d38e586be4010a294886cde1f9c24.jpg","Odaiba Ediciones","Español (España)","Rústica 192 pp","https://www.whakoom.com/ediciones/626248/te_devore_como_a_un_buen_libro-rustica_192_pp"
"¡Te llamaremos...! o cómo sobrevivir a una entrevista de trabajo","17 de octubre de 2019","Mathilde Ramadier","978-8-466-34900-0","Contiene Vous n'espériez quand même pas un CDD ? publicado por Seuil en 2018 Una novela gráfica breve, ácida, y divertida hasta la tristeza sobre la precariedad del mercado laboral. El aire falsamente distendido de la dirección de Recursos Humanos; la sonrisa socarrona de los nuevos people manager que se supone te hace sentir bien; la pregunta trampa que te desestabiliza; el café aguado que te ves obligado a beber; el tuteo y la palmadita en la espalda que alientan falsas esperanzas... Si tu becariado es eterno, o tienes el mismo contrato por obra desde el siglo pasado, recordarás perfectamente tus entrevistas de trabajo, esos encuentros marcados por la seducción y el poder en los que te juegas tu futuro... o el de otro. ¿Tu motivación y tu elocuencia tendrán la última palabra? En el mundo laboral actual, el del team building y los open spaces, es mejor que cuentes con tu flexibilidad... y dobles el lomo. Bienvenidos a la jungla.","","https://i1.whakoom.com/small/09/2b/4304b85c5d354855aa2f82bf56d4ff36.jpg","DeBolsillo","Español (España)","Rústica 112 pp","https://www.whakoom.com/ediciones/567158/te_llamaremos_o_como_sobrevivir_a_una_entrevista_de_trabajo-rustica_112_pp"
